北京移动,#genre#
北京卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226900/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EcYPi33WFyhvd6SjmqUKhJg%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNOn2IZUdON37GECPEfhNaHz%2CEND
北京文艺,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226440/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EWrJcgMpdGPvZavpf4dmmrQ%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNP_YClM0nRh7nq3tpFKrbZZ%2CEND
北京纪实科教,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226434/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Ejj3PtVjzl6ZzFdM-Vi1dmQ%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNNkS-tfnPG5L1A5DE7CspON%2CEND
北京影视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226433/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EygquRbh9L0wUPRY53fsZWw%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNMUIUdJOAYtIFQKZdhj2O4S%2CEND
北京财经,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226516/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Eh9_SEkmWeMdS1TMnIILZgg%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNM5VJcQCvKiTjh9LZMKNsOT%2CEND
北京体育休闲,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226438/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EeVAybrHg955d_IRT9e_uHQ%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNMnBTApABn-r3ft-Cuttb3U%2CEND
北京生活,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226514/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Es-PVNcPJsjr_oBdcXGT40g%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPfYdxWRd5W_BhlzKfsiZL6%2CEND
北京新闻,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226437/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EncK5uEAdYwWMsf8WJWI1mQ%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNNlUWqe2riwmF-aZtqTZycu%2CEND
北京卡酷少儿,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226511/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EvqDW6DIwhMbw5DgQ-5shSg%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNM9x7WC5BY1UNCBgmY7RgI1%2CEND
北京国际,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226510/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EIfgL7tTUNqHAIdgvKuwj8A%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNMfeeenw8xFsFrydCysPZNT%2CEND
北京IPTV-4K超清,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226550/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Ee2qS8h6u-xp3gd50vNr1sw%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNONurIwWal114BYfmoCE4Ei%2CEND
北京IPTV-淘电影,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226552/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EXOsrWMA-UCdUl1hQSR9EKw%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPkFYKGNYAoUOWbtkNKlTnU%2CEND
北京IPTV-淘剧场,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226553/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EQaJ92NID2SpQlY6_VJVogg%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNOr4g4XWg4wciKnHCxpaHSG%2CEND
北京IPTV-淘娱乐,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226551/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Ex0efg9fpenP8E8lWJUb5Lg%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPzg9XrcchrdNGT7QgwYrkY%2CEND
北京IPTV-淘BABY,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226554/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EN0sbBMpQv4sLsW5foy3YfA%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPzg9XrcchrdNGT7QgwYrkY%2CEND
北京IPTV-萌宠TV,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226555/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E_PpxWPtvSZRFtu_Ged_-vQ%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPzg9XrcchrdNGT7QgwYrkY%2CEND
北京IPTV-重温经典,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226556/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Eg58chGORQFpH6J3zm0kF5g%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPiM9rRaR25zPAcf43F8jbO%2CEND
CCTV-1,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EI0Rkc6neBYgfpoJ1yud8Fw%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNMXeg8tMXPT9Z7jIQAlxz6j%2CEND
CCTV-2,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226893/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EcnoJZd_sZxCC6bZYZh4R6g%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNMXeg8tMXPT9Z7jIQAlxz6j%2CEND
CCTV-3,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226471/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EmT8sG0Ytv99dBz_15_ONDA%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNNentzv-JnylbmbHMZNNhxs%2CEND
CCTV-4,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226470/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E0wP1dRMt9qCzHdvA65wh1w%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNOsUykkJh10AxCO3QVArJ6C%2CEND
CCTV-5,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226469/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EMAeKAxlwz-2aYDxdAltKMA%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNNKtQo83bhZZvsTcD2SsYt5%2CEND
CCTV-5+,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226894/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EevWZ0zmguDsOY_Mf3SM5TA%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNNVgZFnuAD9eJu-Obkr4sBd%2CEND
CCTV-6,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226468/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E2CxodF0yo8joQUfWsBh53Q%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPaENCFgzDyXhEJHuWCTXJT%2CEND
CCTV-7,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226234/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EutDC7HLJc_gC0YdIDr7oig%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNMIT8GRYsd0U9pMcOXrdHLo%2CEND
CCTV-8,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226451/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EO_1NY-UghfdG_S28Bf_FPw%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNN855YnBxUV5hgEIbUOFCxz%2CEND
CCTV-9,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226236/index.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E4MVygPhhOzP-asbwwK-xxQ%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPKPVAFGnTF57Znm0nTygp3%2CEND
